applicant_name_patstat,company_name_stock,ticker_stock,match_score,match_type,sector_match,parent_match,confidence_mean,confidence_lower,confidence_upper,total_patents
Cambridge Enterprise Limited,CAMBRIDGE TECHNOLOGY ENTERPRISE,CTE-EQ.NS,1.0,exact,False,True,1.0,1.0,1.0,34
"Allergan, Inc.",Allergan plc,AGN,1.0,exact,False,True,1.0,1.0,1.0,34
Cipla Limited,Cipla Limited,CIPLA.NS,1.0,exact,False,True,1.0,1.0,1.0,34
AMS RESEARCH CORPORATION,ams AG,AMS.SW,1.0,exact,False,True,1.0,1.0,1.0,33
MONSANTO TECHNOLOGY LLC,Monsanto Company,MON,1.0,exact,False,True,0.9953333333333333,0.9823765895090769,1.0,32
ENI S.P.A.,Eni S.p.A.,E,1.0,exact,False,True,1.0,1.0,1.0,32
NEC CORPORATION,NEC CORP.,NEC1.BE,1.0,exact,False,True,1.0,1.0,1.0,30
SGL CARBON SE,SGL Carbon SE,SGL.DE,1.0,exact,False,True,1.0,1.0,1.0,30
JFE STEEL CORPORATION,JSW Steel Limited,JSWSTEEL.NS,0.8961904761904762,fuzzy,True,False,0.8961904761904762,0.8961904761904762,0.8961904761904762,29
GlaxoSmithKline LLC,GlaxoSmithKline plc,GSK,1.0,exact,False,True,1.0,1.0,1.0,29
ABB RESEARCH LTD,ABB Ltd,ABB,1.0,exact,False,True,0.9975213675213676,0.9921208912769027,1.0,29
"Sumitomo Metal Mining Co., Ltd.","Sumitomo Metal Mining Co., Ltd.",S19.F,1.0,exact,True,True,1.0,1.0,1.0,29
The General Hospital Corporation,"The ONE Group Hospitality, Inc.",STKS,0.8641835357624832,fuzzy,True,False,0.8641835357624832,0.8641835357624832,0.8641835357624832,29
Fujitsu Limited,Fujitsu Limited,FJTSY,1.0,exact,False,True,1.0,1.0,1.0,29
ARRAY BIOPHARMA INC.,"ARCA biopharma, Inc.",HQ1N.F,1.0,exact,True,False,1.0,1.0,1.0,28
AstraZeneca AB,AstraZeneca PLC,AZN,1.0,exact,False,True,1.0,1.0,1.0,28
Omya International AG,OM Holdings Limited,OMH.AX,0.8633333333333333,fuzzy,False,True,0.8633333333333333,0.8633333333333333,0.8633333333333333,28
PRYSMIAN S.P.A.,Prysmian S.p.A.,PRY.MI,1.0,exact,False,True,1.0,1.0,1.0,28
Novo Nordisk A/S,Novo Nordisk A/S,NVO,1.0,exact,False,True,1.0,1.0,1.0,27
Wockhardt Limited,Wockhardt Limited,WOCKPHARMA.NS,1.0,exact,False,True,0.9876811594202898,0.9346774663733083,1.0,27
"Mitsubishi Gas Chemical Company, Inc.","Mitsubishi Gas Chemical Company, Inc.",MBGCF,1.0,exact,True,True,1.0,1.0,1.0,27
Research Triangle Institute,TIANGE,1980.HK,0.8628571428571429,fuzzy,False,False,0.8628571428571429,0.8628571428571429,0.8628571428571429,27
"Oncotherapy Science, Inc.","OncoTherapy Science, Inc.",30O.F,1.0,exact,False,True,1.0,1.0,1.0,27
"Nippon Soda Co., Ltd.",NIPPON SODA CO.LTD,N76.DU,1.0,exact,False,True,1.0,1.0,1.0,27
Lupin Limited,Lupin Limited,LUPIN.NS,1.0,exact,False,True,1.0,1.0,1.0,27
Albemarle Corporation,Albemarle Corporation,ALB,1.0,exact,False,True,1.0,1.0,1.0,27
BURCON NUTRASCIENCE (MB) CORP.,Burcon Nutrascience Corporation,BUR,1.0,exact,False,True,1.0,1.0,1.0,26
"Shionogi & Co., Ltd.","Shionogi & Co., Ltd.",SH0.F,1.0,exact,False,True,1.0,1.0,1.0,26
Johnson Matthey Public Limited Company,Johnson Matthey Plc,JMAT.L,0.9430917280917281,fuzzy,False,True,0.9430917280917281,0.9430917280917281,0.9430917280917281,26
"ALNYLAM PHARMACEUTICALS, INC.","Alnylam Pharmaceuticals, Inc.",ALNY,1.0,exact,False,True,0.9894925925925926,0.9442828674290816,1.0,26
"SCHNEIDER ELECTRIC USA, INC.",SCHNEIDER ELECTRIC,SCHN.TI,1.0,exact,True,True,1.0,1.0,1.0,25
INTELLIGENT ENERGY LIMITED,Intelligent Energy Holdings Plc,ITNRF,1.0,exact,True,True,1.0,1.0,1.0,25
HERAKLES,Heracles SA,ALHER.PA,0.905,fuzzy,False,False,0.905,0.905,0.905,25
Medical Research Council,"Medical Connections Holdings, Inc.",MCTH,0.9067946336429308,fuzzy,True,False,0.9067946336429308,0.9067946336429308,0.9067946336429308,25
Bridgestone Corporation,BRIDGESTONE CORP.,BGT.DU,1.0,exact,False,True,1.0,1.0,1.0,25
"Kuraray Co., Ltd.","Kuraray Co., Ltd.",KUY.F,1.0,exact,False,True,1.0,1.0,1.0,25
Smith & Nephew PLC,Smith & Nephew plc,SN.L,1.0,exact,False,True,1.0,1.0,1.0,25
